id,user_id,anime_id,rating,watching_status,watched_episodes
1,0,67,9,1,1
2,0,6702,7,1,4
3,0,242,10,1,4
4,0,4898,0,1,1
5,0,21,10,1,0
6,0,24,9,1,5
7,0,2104,0,1,4
8,0,4722,8,1,4
9,0,6098,6,1,2
10,0,3125,9,1,29
11,0,481,10,1,79
12,0,68,6,2,23
13,0,1689,6,2,3
14,0,2913,6,2,40
15,0,1250,7,2,26
16,0,356,9,2,24
17,0,121,9,2,51
18,0,430,9,2,1
19,0,1829,7,2,1
20,0,1571,10,2,25
21,0,578,10,2,1
22,0,431,8,2,1
23,0,2762,9,2,24
24,0,570,7,2,1
25,0,3418,9,2,50
26,0,3010,7,2,52
27,0,1004,5,2,1
28,0,433,6,2,1
29,0,600,6,2,12
30,0,2034,8,2,24
31,0,164,8,2,1
32,0,4086,6,2,51
33,0,457,0,2,26
34,0,20,0,2,220
35,0,1074,0,2,1
36,0,761,0,2,1
37,0,2248,6,2,1
38,0,597,0,2,1
39,0,1047,6,2,1
40,0,459,9,2,1
41,0,466,7,2,1
42,0,2543,7,2,52
43,0,419,8,2,26
44,0,199,8,2,1
45,0,169,7,2,12
46,0,2547,7,2,46
47,0,174,4,2,24
48,0,448,5,2,2
49,0,2236,10,2,1
50,0,415,10,2,1
51,0,1894,7,2,1
52,0,269,9,3,64
53,0,235,10,3,0
54,0,71,0,3,3
55,0,245,0,3,11
56,0,134,0,3,3
57,0,1887,0,3,2
58,0,3457,0,3,1
59,0,1535,0,4,27
60,0,1726,0,4,2
61,0,228,0,4,3
62,0,1735,0,4,6
63,0,1482,0,6,0
64,0,5114,0,6,0
65,0,256,0,6,0
66,0,19,0,6,0
67,0,877,0,6,1
68,0,272,0,6,0
69,0,853,0,6,0
70,0,177,0,6,0
71,0,1985,0,6,0
72,0,202,0,6,0
73,0,2006,0,6,0
74,0,482,0,6,0
75,1,37403,8,1,8
76,1,9989,0,1,6
77,1,24833,0,1,8
78,1,7674,7,1,3
79,1,34572,0,1,1
80,1,34566,7,1,75
81,1,2167,0,1,1
82,1,40852,9,1,8
83,1,10087,7,1,3
84,1,38680,0,1,1
85,1,40052,8,1,13
86,1,40748,9,1,20
87,1,1604,0,1,24
88,1,20507,0,1,1
89,1,21,9,1,958
90,1,38483,0,1,1
91,1,26243,7,1,1
92,1,42203,9,1,2
93,1,40028,10,1,11
94,1,39551,0,1,1
95,1,39617,0,1,2
96,1,3972,7,1,48
97,1,481,8,1,25
98,1,22199,7,2,24
99,1,6547,6,2,13
100,1,9919,8,2,25
101,1,5081,8,2,15
102,1,31043,9,2,12
103,1,31964,9,2,13
104,1,33486,8,2,25
105,1,36456,8,2,25
106,1,38408,8,2,25
107,1,28755,8,2,1
108,1,1575,10,2,25
109,1,35849,6,2,24
110,1,1535,9,2,37
111,1,18689,8,2,75
112,1,38731,8,2,52
113,1,30230,8,2,51
114,1,38691,9,2,24
115,1,38671,7,2,24
116,1,40956,7,2,24
117,1,5114,10,2,64
118,1,37349,7,2,12
119,1,20583,8,2,25
120,1,28891,8,2,25
121,1,32935,8,2,10
122,1,38883,8,2,13
123,1,40776,9,2,12
124,1,37259,8,2,13
125,1,11061,9,2,148
126,1,37497,8,2,13
127,1,37999,8,2,12
128,1,40221,8,2,13
129,1,37965,9,2,23
130,1,18679,6,2,24
131,1,38000,9,2,26
132,1,32281,10,2,1
133,1,22535,9,2,24
134,1,28851,9,2,1
135,1,30831,7,2,10
136,1,32937,7,2,10
137,1,11771,7,2,25
138,1,16894,7,2,25
139,1,24415,7,2,25
140,1,34599,8,2,13
141,1,19,9,2,74
142,1,20,10,2,220
143,1,442,7,2,1
144,1,936,6,2,1
145,1,2144,6,2,1
146,1,1735,10,2,500
147,1,2472,7,2,1
148,1,4437,7,2,1
149,1,6325,7,2,1
150,1,8246,7,2,1
151,1,10589,7,2,1
152,1,13667,8,2,1
153,1,19815,8,2,12
154,1,30276,8,2,12
155,1,34134,7,2,12
156,1,14749,7,2,13
157,1,36259,6,2,26
158,1,31240,8,2,25
159,1,39587,9,2,13
160,1,13759,7,2,24
161,1,37450,10,2,13
162,1,38329,9,2,1
163,1,199,10,2,1
164,1,154,8,2,64
165,1,23273,9,2,22
166,1,11371,7,2,13
167,1,16498,10,2,25
168,1,25777,10,2,12
169,1,35760,10,2,12
170,1,28171,8,2,24
171,1,40902,7,2,13
172,1,32282,8,2,13
173,1,35788,8,2,12
174,1,36949,8,2,12
175,1,39940,7,2,10
176,1,35847,7,2,12
177,1,9253,10,2,24
178,1,30484,10,2,23
179,1,11577,10,2,1
180,1,32188,10,2,1
181,1,11757,5,2,25
182,1,21881,5,2,24
183,1,38826,8,2,1
184,1,22,9,2,178
185,1,995,8,2,13
186,1,4053,9,2,7
187,1,2752,8,2,6
188,1,37430,8,2,24
189,1,41353,8,2,13
190,1,16870,9,2,1
191,1,4224,9,2,25
192,1,37521,9,2,24
193,1,33352,7,2,13
194,1,14813,8,2,13
195,1,39547,9,2,12
196,1,18753,7,2,1
197,1,23847,8,2,13
198,1,33161,8,2,1
199,1,37779,9,2,12
200,1,35507,7,2,12
201,1,40456,0,3,0
202,1,36098,0,3,0
203,1,269,7,4,150
204,1,41587,0,6,0
205,1,42938,0,6,0
206,1,12189,0,6,0
207,1,36862,0,6,0
208,1,38882,0,6,0
209,1,42395,0,6,0
210,1,42205,0,6,0
211,1,3588,0,6,0
212,1,41487,0,6,0
213,1,41488,0,6,0
214,2,24833,0,1,0
215,2,235,10,1,100
216,2,36721,0,1,1
217,2,40956,0,1,0
218,2,31933,0,1,3
219,2,5042,8,1,0
220,2,7593,8,1,12
221,2,21,9,1,0
222,2,35446,0,1,2
223,2,24,0,1,15
224,2,22,9,1,60
225,2,38034,0,1,2
226,2,17251,0,1,1
227,2,5762,7,2,3
228,2,31580,7,2,13
229,2,33253,0,2,13
230,2,35028,8,2,2
231,2,9513,0,2,60
232,2,368,8,2,6
233,2,11633,0,2,10
234,2,31964,8,2,13
235,2,33486,9,2,25
236,2,31740,7,2,3
237,2,1470,0,2,51
238,2,1575,9,2,25
239,2,2904,10,2,25
240,2,1535,10,2,37
241,2,28223,8,2,12
242,2,226,8,2,13
243,2,38671,8,2,24
244,2,32872,7,2,2
245,2,15,9,2,145
246,2,71,8,2,24
247,2,7661,8,2,26
248,2,245,0,2,43
249,2,263,10,2,75
250,2,5258,0,2,26
251,2,270,9,2,13
252,2,24703,8,2,12
253,2,15451,9,2,12
254,2,8074,6,2,12
255,2,11061,10,2,148
256,2,28961,7,2,1
257,2,34542,7,2,11
258,2,14719,9,2,26
259,2,20899,9,2,24
260,2,26055,9,2,24
261,2,34933,8,2,12
262,2,37086,8,2,12
263,2,1604,9,2,203
264,2,22535,8,2,24
265,2,189,8,2,24
266,2,34599,7,2,13
267,2,29575,8,2,4
268,2,10620,8,2,26
269,2,32182,9,2,12
270,2,23755,9,2,24
271,2,20,9,2,220
272,2,1735,9,2,500
273,2,35581,8,2,2
274,2,5040,9,2,25
275,2,30276,9,2,12
276,2,34134,9,2,12
277,2,6893,0,2,2
278,2,11499,7,2,12
279,2,29786,8,2,12
280,2,16498,9,2,25
281,2,28171,9,2,24
282,2,32282,0,2,13
283,2,9253,9,2,24
284,2,3455,8,2,26
285,2,22319,8,2,12
286,2,10851,4,4,2
287,2,40658,0,6,0
288,2,29809,0,6,0
289,2,25397,0,6,0
290,2,2852,0,6,0
291,2,1635,0,6,0
292,2,1636,0,6,0
293,2,40337,0,6,0
294,2,39085,0,6,0
295,2,857,0,6,0
296,2,9721,0,6,0
297,2,36625,0,6,0
298,2,6987,0,6,0
299,2,8577,0,6,0
300,2,9849,0,6,0
301,2,4010,0,6,0
302,2,16642,0,6,0
303,2,41261,0,6,0
304,2,30614,0,6,0
